KOD,NAZEV,LATNAZEV,ANAZEV,DOD,DDO,NEPLATNOST
P6141,Teologie,,Theology,,,
P6142,Logika,,Logic,,,
P6143,Humanitní studia (tříleté),,,,,
P6144,Filozofie a dějiny přírodních věd,,Philosophy and History of Sciences,,,
P6147,Filozofie (čtyřleté),,,,,
P6201,Ekonomické teorie,,Economics,,,
P6202,Hospodářská politika a správa,,Economic Policy and Administration,,,
P6207,Kvantitativní metody v ekonomice,,,,,
P6208,Ekonomika a management,,Economics and Management,,,
P6209,Systémové inženýrství a informatika,,Engineering and Informatics,,,
P6210,Mezinárodní ekonomické vztahy,,International Economic Relations,,,
P6216,Ekonomie a hospodářská správa,,Economics and Economic Administration,,,
P6217,Finance a účetnictví,,,,,
P3960,Pokročilé materiály a nanovědy,,,,,
P6223,Economic Policy and Administration,,Economic Policy and Administration,,,
P6224,Hospodářská politika a správa (čtyřleté),,,,,
P6228,Ekonomie a ekonometrie,,Economics and Econometrics,,,
P6229,Ekonomické teorie (čtyřleté),,,,,
P6230,Ekonomika a management (čtyřleté),,,,,
P6231,Finance a účetnictví (čtyřleté),,,,,
P6232,Kvantitativní metody v ekonomii,,,,,
P6501,Řízení cestovního ruchu,,,,,
P6701,Politologie,,Political Science,,,
P6702,Mezinárodní teritoriální studia,,International Territorial Studies,,,
P6703,Sociologie,,Sociology,,,
P6705,Politologie (čtyřletá),,,,,
P6706,Mezinárodní teritoriální studia (čtyřletá),,,,,
P6707,Sociologie (čtyřletá),,,,,
P6731,Sociální politika a sociální práce,,Social Policy and Social Work,,,
P6732,Politologie (kombinované),,,,,
P6733,Sociologie (kombinované),,,,,
P6734,Sociální politika a sociální práce (kombinované),,,,,
P4152,Rostlinolékařství,,,,,
P6735,Mezinárodní teritoriální studia (kombinované),,,,,
P6742,Sociální politika a sociální práce (čtyřleté),,Social Policy and Social Work (čtyřleté),,,
P6801,Teoretické právní vědy,,Theoretical Legal Science,,,
P6804,Právní specializace,,,,,
P6805,Právo a právní věda,,,,,
P6806,Bezpečnostně právní studia,,,,,
P6810,Teoretické právní vědy (čtyřleté),,,,,
P7105,Historické vědy,,History,,,
P7107,Historické vědy (čtyřleté),,,,,
P7108,Historie techniky,,,,,
P7109,Archeologie,,,,,
P7201,Informační studia a knihovnictví,,Information Studies and Librarianship,,,
P7202,Mediální a komunikační studia,,Media and Communication Studies,,,
P7203,Mediální a komunikační studia (kombinované),,,,,
P7310,Filologie,,Philology,,,
P7311,Anglistika - amerikanistika,,,,,
P7312,Čeština v komunikaci neslyšících,,,,,
P7313,Překladatelství a tlumočnictví,,,,,
P7315,Filologie (čtyřleté),,,,,
P7316,Text and Event in Early Modern Europe,,Text and Event in Early Modern Europe,,,
P7401,Tělesná výchova a sport,,Physical Education and Sport,,,
P7403,Kinantropologie,,Kinanthropology,,,
P7405,Kinantropologie (čtyřleté),,,,,
P7501,Pedagogika,,Pedagogy,,,
P7502,Sociální péče,,,,,
P7503,Učitelství pro základní školy,,,,,
P7504,Učitelství pro střední školy,,,,,
P7505,Vychovatelství,,,,,
P7506,Speciální pedagogika,,Special Education,,,
P7507,Specializace v pedagogice,,Specialization in Education,,,
P7509,Teorie hudební výchovy,,,,,
P7511,Special Education,,Special Education,,,
P7512,Education,,Education,,,
P7513,Andragogika,,,,,
P7531,Předškolní a mimoškolní pedagogika,,,,,
P7534,Učitelství pro střední školy (tříleté),,,,,
P7536,Pedagogika (čtyřleté),,,,,
P7537,Specializace v pedagogice (čtyřleté),,,,,
P7538,Education (čtyřleté),,Education (čtyřleté),,,
P7701,Psychologie,,Psychology,,,
P7702,Psychologie (kombinované),,,,,
P7703,Psychologie (čtyřleté),,,,,
P8101,Teorie a dějiny výtvarných umění,,,,,
P8102,Teorie a dějiny hudebního umění,,,,,
P8103,Teorie a dějiny tanečního umění,,,,,
P8104,"Teorie a dějiny divadla, filmu a masmédií",,,,,
P8106,Teorie a dějiny literatury,,,,,
P8109,Obecná teorie a dějiny umění a kultury,,Theory and History of Arts and Culture,,,
P8110,Teorie a dějiny hudby,,,,,
P8111,Obecná teorie a dějiny umění a kultury (čtyřleté),,,,,
P8201,Hudební umění,,,,,
P8202,Taneční umění,,,,,
P8206,Výtvarná umění,,,,,
P8207,Literární tvorba,,,,,
P8216,Dramatická umění (čtyřleté),,,,,
P9101,Teorie obrany státu,,,,,
P9107,Vojenská geodézie a kartografie,,,,,
P9108,Vojenská logistika,,,,,
P9109,Teorie řízení a bojového použití jednotek pozemního vojska,,,,,
P9111,Ochrana vojsk a obyvatelstva,,,,,
P9115,Vojenské specializace,,,,,
P9116,Teorie řízení a použití jednotek a útvarů pozem. sil a sil územní obrany Armády ČR,,,,,
P9117,Teorie řízení a použití jednotek a útvarů pozemního vojska a sil územní obrany,,,,,
P9507,Vojenský zdravotnický management,,,,,
P8203,Dramatická umění,,,,,
P8204,"Filmové, televizní a fotografické umění a nová média",,,,,
B1001,Přírodovědná studia,,,,,
B1101,Matematika,,Mathematics,,,
B1102,Matematika (čtyřletá),,,,,
B1103,Aplikovaná matematika,,,,,
B1201,Geologie,,Geology,,,
B1202,Aplikovaná geologie,,,,,
B1301,Geografie,,Geography,,,
B1302,Kartografie,,,,,
B1303,Demografie,,Demography,,,
B1304,Geografie a kartografie,,,,,
B1305,Aplikovaná geografie,,,,,
B1316,"Geodézie, kartografie a geoinformatika",,"Geodesy, Cartography and Geoinformatics",,,
B1401,Anorganická chemie,,Inorganic Chemistry,,,
B1402,Organická chemie,,Organic Chemistry,,,
B1403,Analytická chemie,,Analytical Chemistry,,,
B1404,Fyzikální chemie,,Physical Chemistry,,,
B1405,Makromolekulární chemie,,Macromolecular Chemistry,,,
B1406,Biochemie,,Biochemistry,,,
B1407,Chemie,,Chemistry,,,
B1408,Jaderná chemie,,,,,
B1409,Aplikovaná biochemie,,,,,
B1410,Biochemie (tříleté),,,,,
B1411,Chemie (tříleté),,,,,
B1412,Biochemie a patobiochemie,,Biochemistry and Pathobiochemistry,,,
B1413,Klinická a toxikologická analýza,,Clinical and Toxicological Analysis,,,
B1501,Biologie,,Biology,,,
B1502,Zoologie,,Zoology,,,
B1504,Genetika,,,,,
B1507,Botanika,,Botany,,,
B1510,Mikrobiologie,,Microbiology,,,
B1511,Fyziologie a imunologie,,,,,
B1512,Antropologie,,Anthropology,,,
B1513,Biofyzika,,,,,
B1515,Molekulární a buněčná biologie,,,,,
B1516,Biologie a patologie buňky,,Cell Biology and Pathology,,,
B1517,Imunologie,,Immunology,,,
B1519,"Molekulární a buněčná biologie, genetika a virologie",,"Molecular and Cellular Biology, Genetics and Virology",,,
B1520,Vývojová biologie,,Developmental Biology,,,
B1521,Fyziologie živočichů,,Animal Physiology,,,
B1522,Parazitologie,,Parasitology,,,
B1523,Biologie člověka,,,,,
B1530,Experimentální biologie,,,,,
B1531,Ekologická a evoluční biologie,,,,,
B1601,Ekologie a ochrana prostředí,,Ecology and Environmental Protection,,,
B1603,Ekologie,,,,,
B1604,Ochrana prostředí,,,,,
B1605,Ekologie a ochrana životního prostředí,,,,,
B1701,Fyzika,,Physics,,,
B1702,Aplikovaná fyzika,,,,,
B1801,Informatika,,Informatics,,,
B1802,Aplikovaná informatika,,Applied Informatics,,,
B1803,Informatika a druhý obor,,,,,
B1804,Biomedicínská informatika,,,,,
B1806,Otevřená informatika,,Open Informatics,,,
B2101,Hornictví a geologie,,,,,
B2102,Nerostné suroviny,,Mineral Raw Materials,,,
B2106,Metalurgie,,Metallurgy,,,
B2108,Metalurgická technologie,,,,,
B2109,Metalurgické inženýrství,,Metallurgical Engineering,,,
B2110,Geologické inženýrství,,,,,
B2111,Hornictví,,,,,
B2112,Řízení výrobních procesů,,,,,
B2113,Materiálové technologie,,,,,
B2301,Strojní inženýrství,,Mechanical engineering,,,
B2302,Stroje a zařízení,,Machines and equipment,,,
B2303,Strojírenská technologie,,Engineering technology,,,
B2304,Vojenská technika strojní,,,,,
B2305,Strojírenství se zaměřením na ekonomiku a řízení,,,,,
B2306,Letecká a raketová technika,,,,,
B2341,Strojírenství,,Engineering,,,
B2342,Teoretický základ strojního inženýrství,,,,,
B2343,Výroba a ekonomika ve strojírenství,,,,,
B2601,Slaboproudá elektrotechnika,,,,,
B2602,Elektrotechnologie,,,,,
B2608,Elektrotechnika se zaměřením na ekonomiku a řízení,,,,,
B2609,Elektrotechnická specializace,,,,,
B2611,Vojenská technika - elektrotechnická,,,,,
B2612,Elektrotechnika a informatika,,Electrical Engineering and Informatics,,,
B2642,Silnoproudá elektrotechnika,,,,,
B2643,"Elektrotechnika, elektronika, komunikační a řídicí technika",,,,,
B2644,Aplikovaná elektrotechnika,,,,,
B2645,"Elektrotechnika, sdělovací a výpočetní technika",,,,,
B2646,Informační technologie,,,,,
B2647,Informační a komunikační technologie,,Information and Communication Technology,,,
B2648,Projektování elektrických zařízení,,,,,
B2649,Elektrotechnika,,Electrical Engineering,,,
B2650,Softwarové technologie a management,,,,,
B2652,"Elektrotechnika, energetika a management",,"Electrical Engineering, Power Engineering and Management",,,
B2653,"Komunikace, multimédia a elektronika",,"Communications, Multimedia and Electronics",,,
B2654,Kybernetika a robotika,,Cybernetics and Robotics,,,
B2655,Angličtina v elektrotechnice a informatice,,,,,
B2656,Otevřené elektronické systémy,,Open Electronic Systems,,,
B2657,Softwarové inženýrství a technologie,,,,,
B2801,Chemie a chemické technologie,,,,,
B2802,Chemie a technická chemie,,,,,
B2804,Vojenská chemie,,,,,
B2805,Chemie a technologie ochrany životního prostředí,,,,,
B2806,Spotřební chemie,,,,,
B2807,Chemické a procesní inženýrství,,,,,
B2808,Chemie a technologie materiálů,,,,,
B2810,Biochemie a biotechnologie,,,,,
B2811,Chemie a technologie paliv,,,,,
B2812,Biotechnologie odpadů,,,,,
B2814,Technologie pro ochranu životního prostředí,,Enviromental Technology,,,
B2815,Inženýrství a management,,Engineering and Management,,,
B2819,Aplikovaná chemie a materiály,,Applied Chemistry and Materials,,,
B2821,Chemie a aplikovaná ekologie,,,,,
B2822,Procesní inženýrství a management podniků,,,,,
B2823,Konzervování - restaurování objektů kulturního dědictví - uměleckořemeslných děl,,Conservation and Restoration of Cultural Heritage Objects - Works of Arts and Crafts,,,
B2824,Syntéza a výroba léčiv,,Synthesis and Production of Drugs,,,
B2825,Ochrana obyvatelstva,,,,,
B2826,Technologie odpadů,,,,,
B2828,Konzervování - restaurování objektů kulturního dědictví,,,,,
B2829,Anorganické a polymerní materiály,,,,,
B2830,Farmakochemie a medicinální materiály,,,,,
B2831,Povrchová ochrana stavebních a konstrukčních materiálů,,,,,
B2839,Nano a mikrotechnologie v chemickém inženýrství,,Nano and Microtechnology in Chemical Engineering,,,
B2840,Biomateriály pro medicínské využití,,Biomaterials for Medical Applications,,,
B2841,Forenzní analýza,,Forensic  Analysis,,,
B2843,Chemistry and Technology,,Chemistry and Technology,,,
B2845,Chemická informatika a bioinformatika,,Chemical Informatics and Bioinformatics,,,
B2901,Chemie a technologie potravin,,,,,
B2902,Potravinářská a biochemická technologie,,Food and Biochemical Technology,,,
B2905,Potravinářství a biotechnologie,,,,,
B3106,Textilní inženýrství,,Textile Engineering,,,
B3107,Textil,,Textile,,,
B3201,"Technologie a zařízení pro zpracování kůže, plastů a pryže",,,,,
B3301,Dřevařské inženýrství,,,,,
B3302,Nábytek,,,,,
B3305,Stavby na bázi dřeva,,,,,
B3341,Dřevařství,,,,,
B3441,Polygrafie,,,,,
B3501,Architektura a urbanismus,,Architecture and Urbanism,,,
B3502,Architektura a stavitelství,,,,,
B3503,Architektura pozemních staveb,,,,,
B3505,Architecture,,Architecture,,,
B3506,Krajinářská architektura,,,,,
B3602,Geomatika,,,,,
B3606,Vojenské stavby,,,,,
B3607,Stavební inženýrství,,Civil Engineering,,,
B3608,Pozemní stavby a architektura,,,,,
B3609,Stavitelství,,,,,
B3646,Geodézie a kartografie,,,,,
B3647,Stavebnictví,,,,,
B3648,Civil Engineering,,Civil Engineering,,,
B3651,Stavební inženýrství,,,,,
B3652,Bezpečnostní a rizikové inženýrství,,,,,
B3653,Design of Civil Engineering Structures,,Design of Civil Engineering Structures,,,
B3656,Městské inženýrství,,,,,
B3706,Dopravní a spojová infrastruktura,,,,,
B3707,Ekonomika a řízení v dopravě a spojích,,,,,
B3708,Dopravní inženýrství a spoje,,,,,
B3709,Dopravní technologie a spoje,,,,,
B3710,Technika a technologie v dopravě a spojích,,,,,
B3711,Automatizace a řízení v dopravě a spojích,,,,,
B3713,Logistika,,,,,
B3901,Aplikované vědy v inženýrství,,,,,
B3902,Inženýrská informatika,,Engineering Informatics,,,
B3903,Kybernetika a řídící technika,,,,,
B3904,Inženýrská ekologie,,,,,
B3906,Speciální technologie,,,,,
B3907,Energetika,,,,,
B3908,Požární ochrana a průmyslová bezpečnost,,,,,
B3909,Procesní inženýrství,,Process Engineering,,,
B3910,Fyzikální a materiálové inženýrství,,,,,
B3911,Materiálové vědy,,,,,
B3912,Speciální chemicko-biologické obory,,Special Chemical and Biological Programmes,,,
B3913,Aplikace přírodních věd,,,,,
B3914,Krajinné inženýrství,,Landscape Engineering,,,
B3915,Krajinářství,,,,,
B3916,Biomedicínské inženýrství - bionika,,,,,
B3917,Soudní inženýrství,,,,,
B3918,Aplikované vědy a informatika,,Applied Sciences and Computer Engineering,,,
B3919,Biomechanika,,Biomechanics,,,
B3921,Biomedicínská a klinická technika,,Biomedical and Clinical Technology,,,
B3922,Ekonomika a řízení průmyslových systémů,,Economics and Management of Industrial Systems,,,
B3923,Materiálové inženýrství,,Materials Engineering,,,
B3926,Vojenské technologie,,Military Technology,,,
B3928,Technická podpora humanitních věd,,,,,
B3930,Biomedicínská technika a bioinformatika,,,,,
B3931,Environmentální vědy,,Environmental Science,,,
B3942,Nanotechnologie,,,,,
B3943,Mechatronika,,Mechatronics,,,
B3944,Biomedicínská technika,,,,,
B3945,Nemovitý majetek,,,,,
B3947,Počítačové modelování v technice,,Computer Modelling in Technology,,,
B3953,Bezpečnost společnosti,,,,,
B3956,Vojenský pilot,,,,,
B3961,Audio inženýrství,,,,,
B3964,Metrologie,,,,,
B3965,Technologie pro obranu a bezpečnost,,,,,
B3966,Informační bezpečnost,,,,,
B3967,Bioinformatika,,Bioinformatics,,,
B3968,Aplikované vědy a technologie,,Applied Sciences and Technologies,,,
B4101,Zemědělské inženýrství,,Agricultural Engineering,,,
B4102,Fytotechnika,,Crop Science,,,
B4103,Zootechnika,,"Animal Science, Animal Breeding",,,
B4106,Zemědělská specializace,,Agricultural Specialization,,,
B4107,Lesní inženýrství,,Forestry Engineering,,,
B4108,Zahradnické inženýrství,,Hortical Engineering,,,
B4109,Zahradní a krajinářská architektura,,,,,
B4111,Zahradní a krajinná architektura,,,,,
B4112,Agrobiologie,,,,,
B4113,Zahradnické technologie,,,,,
B4131,Zemědělství,,,,,
B4132,Lesnictví,,Forestry,,,
B4144,Zahradnictví,,,,,
B4145,Kvalita a zpracování zemědělských produktů,,,,,
B4146,Hodnocení a ochrana půdy,,,,,
B4147,Udržitelné využívání přírodních zdrojů,,Sustainable Use of Natural Resources,,,
B4148,"Zemědělství, zahradnictví a rozvoj venkova",,,,,
B4149,Rozvoj venkova a zemědělství,,,,,
B4150,Genové technologie a šlechtění,,,,,
B4151,Péče o biosféru,,,,,
B4152,Rostlinolékařství,,,,,
B4153,Natural Resources and Environment (Přírodní zdroje a životní prostředí),,Natural Resources and Environment (Přírodní zdroje a životní prostředí),,,
B4154,Ekologické zemědělství,,,,,
B4155,Veřejná správa v zemědělství a krajině,,,,,
B4156,Technické znalectví a pojišťovnictví,,,,,
B4157,Tropical Agriculture (Tropické zemědělství),,Tropical Agriculture (Tropické zemědělství),,,
B4161,Agriculture and Food,,Agriculture and Food,,,
B4166,Arboristika,,,,,
B4169,Ochrana krajiny a využívání přírodních zdrojů,,,,,
B4301,Veterinární lékařství,,,,,
B4302,Veterinární hygiena a ekologie,,Veterinary Hygiene and Ecology,,,
B5103,Všeobecné lékařství,,,,,
B5104,Stomatologie,,Dentistry,,,
B5105,Experimentální chirurgie,,Experimental Surgery,,,
B5106,Fyziologie a patofyziologie člověka,,Human Physiology and Pathophysiology,,,
B5107,Gerontologie,,Gerontologogy,,,
B5108,Neurovědy,,Neurosciences,,,
B5109,Preventivní medicína,,Preventive Medicine,,,
B5206,Farmacie,,Pharmacy,,,
B5207,Zdravotnická bioanalytika,,Healthcare bioanalytics,,,
B5208,Farmakologie a toxikologie,,Pharmacology and Toxicology,,,
B5341,Ošetřovatelství,,Nursing,,,
B5342,Rehabilitace,,,,,
B5345,Specializace ve zdravotnictví,,Specializations in Health Service,,,
B5346,Ekonomika a řízení zdravotnictví,,,,,
B5347,Veřejné zdravotnictví,,,,,
B5348,Specializace ve zdravotnictví (kombinované),,,,,
B5349,Porodní asistence,,Midwifery,,,
B5350,Zdravotně sociální péče,,,,,
B6101,Filozofie,,Philosophie,,,
B6107,Humanitní studia,,Humanities,,,
B6141,Teologie,,Theology,,,
B6142,Logika,,Logic,,,
B6143,Humanitní studia (tříleté),,,,,
B6145,Humanitní vědy,,Humanities,,,
B6201,Ekonomické teorie,,Economics,,,
B6202,Hospodářská politika a správa,,Economic Policy and Administration,,,
B6207,Kvantitativní metody v ekonomice,,,,,
B6208,Ekonomika a management,,Economics and Management,,,
B6209,Systémové inženýrství a informatika,,Engineering and Informatics,,,
B6210,Mezinárodní ekonomické vztahy,,International Economic Relations,,,
B6211,"Bankovnictví, peněžnictví a pojišťovnictví",,,,,
B6212,Management a marketing,,,,,
B6213,Ekonomika a insolvence,,,,,
B6214,Regionální rozvoj,,Regional Development,,,
B6215,Bankovnictví,,,,,
B6216,Ekonomie a hospodářská správa,,Economics and Economic Administration,,,
B6217,Finance a účetnictví,,,,,
B6218,Business Administration,,Business Administration,,,
B6221,Systémové inženýrství,,,,,
B6222,Matematické metody v ekonomii,,,,,
B6223,Economic Policy and Administration,,Economic Policy and Administration,,,
B6224,Hospodářská politika a správa (čtyřleté),,,,,
B6233,Economic Policy and Public Administration,,Economic Policy and Public Administration,,,
B6234,Kvantitativní metody a rozhodování v ekonomice,,,,,
B6501,Řízení cestovního ruchu,,,,,
B6502,"Hotelnictví, gastronomie a lázeňství",,Hospitality Management,,,
B6503,"Gastronomie, hotelnictví a turismus",,,,,
B6701,Politologie,,Political Science,,,
B6702,Mezinárodní teritoriální studia,,International Territorial Studies,,,
B6703,Sociologie,,Sociology,,,
B6708,International Relations,,International Relations,,,
B6731,Sociální politika a sociální práce,,Social Policy and Social Work,,,
B6732,Politologie (kombinované),,,,,
B6733,Sociologie (kombinované),,,,,
B6734,Sociální politika a sociální práce (kombinované),,,,,
B6735,Mezinárodní teritoriální studia (kombinované),,,,,
B6737,Humanitní environmentalistika,,,,,
B6738,Mezinárodní a veřejné vztahy,,,,,
B6739,Humanities and Social Sciences,,Humanities and Social Sciences,,,
B6743,Sociální politika,,,,,
B6801,Teoretické právní vědy,,,,,
B6804,Právní specializace,,,,,
B6805,Právo a právní věda,,,,,
B6806,Bezpečnostně právní studia,,,,,
B6807,Veřejná správa,,Public Policy,,,
B6808,Ochrana a bezpečnost organizace,,,,,
B6809,Bezpečnostně právní činnost,,,,,
B6811,Právní specializace - kontrolní činnost ve veřejné správě,,,,,
B6813,Bezpečnostní management v regionech,,,,,
B7105,Historické vědy,,History,,,
B7106,Historická studia,,,,,
B3712,Technologie letecké dopravy,,,,,
B7109,Archeologie,,,,,
B7201,Informační studia a knihovnictví,,Information Studies and Librarianship,,,
B7202,Mediální a komunikační studia,,Media and Communication Studies,,,
B7203,Mediální a komunikační studia (kombinované),,,,,
B7204,Applied Social Sciences,,Applied Social Sciences,,,
B7310,Filologie,,Philology,,,
B7311,Anglistika - amerikanistika,,English and American Studies,,,
B7312,Čeština v komunikaci neslyšících,,Deaf Studies,,,
B7313,Překladatelství a tlumočnictví,,Translation and Interpreting,,,
B7314,Polská filologie,,,,,
B7401,Tělesná výchova a sport,,Physical Education and Sport,,,
B7403,Kinantropologie,,Kinanthropology,,,
B7404,Rekreologie,,,,,
B7501,Pedagogika,,Education,,,
B7502,Sociální péče,,,,,
B7503,Učitelství pro základní školy,,,,,
B7504,Učitelství pro střední školy,,,,,
B7505,Vychovatelství,,Education,,,
B7506,Speciální pedagogika,,Special Education,,,
B7507,Specializace v pedagogice,,Technical Teacher Training,,,
B7508,Sociální práce,,Social Work,,,
B7531,Předškolní a mimoškolní pedagogika,,,,,
B7534,Učitelství pro střední školy (tříleté),,,,,
B7701,Psychologie,,Psychology,,,
B7702,Psychologie (kombinované),,,,,
B8101,Teorie a dějiny výtvarných umění,,,,,
B8102,Teorie a dějiny hudebního umění,,,,,
B8103,Teorie a dějiny tanečního umění,,,,,
B8104,"Teorie a dějiny divadla, filmu a masmédií",,,,,
B8106,Teorie a dějiny literatury,,,,,
B8109,Obecná teorie a dějiny umění a kultury,,Theory and History of Art and Culture,,,
B8110,Teorie a dějiny hudby,,,,,
B8201,Hudební umění,,,,,
B8202,Taneční umění,,,,,
B8203,Dramatická umění,,,,,
B8204,"Filmové, televizní a fotografické umění a nová média",,,,,
B8206,Výtvarná umění,,,,,
B8207,Literární tvorba,,,,,
B8208,Design,,,,,
B8209,Teorie a praxe audiovizuální tvorby,,,,,
B8212,Divadelní tvorba v netradičních prostorech,,,,,
B8213,Design nábytku,,,,,
B8214,Mediální tvorba,,,,,
B8216,Dramatická umění (čtyřleté),,,,,
B9101,Teorie obrany státu,,,,,
B9107,Vojenská geodézie a kartografie,,,,,
B9108,Vojenská logistika,,,,,
B9109,Teorie řízení a bojového použití jednotek pozemního vojska,,,,,
B9111,Ochrana vojsk a obyvatelstva,,,,,
B9115,Vojenské specializace,,,,,
B9116,Teorie řízení a použití jednotek a útvarů pozem. sil a sil územní obrany Armády ČR,,,,,
B9117,Teorie řízení a použití jednotek a útvarů pozemního vojska a sil územní obrany,,,,,
B9507,Vojenský zdravotnický management,,,,,
M1101,Matematika,,Mathematics,,,
M1103,Aplikovaná matematika,,,,,
M1201,Geologie,,Geology,,,
M1202,Aplikovaná geologie,,,,,
M1301,Geografie,,,,,
M1302,Kartografie,,,,,
M1303,Demografie,,Demography,,,
M1304,Geografie a kartografie,,,,,
M1305,Aplikovaná geografie,,,,,
M1311,Fyzická geografie,,,,,
M1312,Regionální geografie,,,,,
M1313,Sociální geografie,,,,,
M1401,Anorganická chemie,,Inorganic Chemistry,,,
M1402,Organická chemie,,Organic Chemistry,,,
M1403,Analytická chemie,,Analytical Chemistry,,,
M1404,Fyzikální chemie,,Physical Chemistry,,,
M1405,Makromolekulární chemie,,Macromolecular Chemistry,,,
M1406,Biochemie,,Biochemistry,,,
M1407,Chemie,,Chemistry,,,
M1408,Jaderná chemie,,,,,
M1409,Aplikovaná biochemie,,,,,
M1410,Biochemie (tříleté),,,,,
M1411,Chemie (tříleté),,,,,
M1412,Biochemie a patobiochemie,,Biochemistry and Pathobiochemistry,,,
M1501,Biologie,,Biology,,,
M1502,Zoologie,,Zoology,,,
M1504,Genetika,,,,,
M1507,Botanika,,Botany,,,
M1510,Mikrobiologie,,Microbiology,,,
M1511,Fyziologie a imunologie,,,,,
M1512,Antropologie,,Anthropology,,,
M1513,Biofyzika,,,,,
M1515,Molekulární a buněčná biologie,,,,,
M1516,Biologie a patologie buňky,,Cell Biology and Pathology,,,
M1517,Imunologie,,Immunology,,,
M1519,"Molekulární a buněčná biologie, genetika a virologie",,"Molecular and Cellular Biology, Genetics and Virology",,,
M1520,Vývojová biologie,,Developmental Biology,,,
M1521,Fyziologie živočichů,,Animal Physiology,,,
M1522,Parazitologie,,Parasitology,,,
M1523,Biologie člověka,,,,,
M1601,Ekologie a ochrana prostředí,,Ecology and Environmental Protection,,,
M1603,Ekologie,,,,,
M1604,Ochrana prostředí,,,,,
M1701,Fyzika,,Physics,,,
M1702,Aplikovaná fyzika,,,,,
M1801,Informatika,,Informatics,,,
M1802,Aplikovaná informatika,,Applied Informatics,,,
M1803,Informatika a druhý obor,,,,,
M1804,Biomedicínská informatika,,,,,
M2101,Hornictví a geologie,,,,,
M2102,Nerostné suroviny,,Mineral Raw Materials,,,
M2106,Metalurgie,,Metallurgy,,,
M2108,Metalurgická technologie,,,,,
M2109,Metalurgické inženýrství,,Metallurgical Engineering,,,
M2110,Geologické inženýrství,,,,,
M2111,Hornictví,,,,,
M2112,Řízení výrobních procesů,,,,,
M2301,Strojní inženýrství,,Mechanical engineering,,,
M2302,Stroje a zařízení,,Machines and equipment,,,
M2303,Strojírenská technologie,,Engineering technology,,,
M2304,Vojenská technika strojní,,,,,
M2305,Strojírenství se zaměřením na ekonomiku a řízení,,,,,
M2306,Letecká a raketová technika,,,,,
M2601,Slaboproudá elektrotechnika,,,,,
M2602,Elektrotechnologie,,,,,
M2608,Elektrotechnika se zaměřením na ekonomiku a řízení,,,,,
M2609,Elektrotechnická specializace,,,,,
M2611,Vojenská technika - elektrotechnická,,,,,
M2612,Elektrotechnika a informatika,,Electrical Engineering and Informatics,,,
M2642,Silnoproudá elektrotechnika,,,,,
M2643,"Elektrotechnika, elektronika, komunikační a řídicí technika",,,,,
M2644,Aplikovaná elektrotechnika,,,,,
M2645,"Elektrotechnika, sdělovací a výpočetní technika",,,,,
M2646,Informační technologie,,,,,
M2801,Chemie a chemické technologie,,,,,
M2802,Chemie a technická chemie,,,,,
M2804,Vojenská chemie,,,,,
M2805,Chemie a technologie ochrany životního prostředí,,,,,
M2806,Spotřební chemie,,,,,
M2807,Chemické a procesní inženýrství,,,,,
M2808,Chemie a technologie materiálů,,,,,
M2810,Biochemie a biotechnologie,,,,,
M2811,Chemie a technologie paliv,,,,,
M2901,Chemie a technologie potravin,,,,,
M3106,Textilní inženýrství,,Textile Engineering,,,
M3201,"Technologie a zařízení pro zpracování kůže, plastů a pryže",,,,,
M3301,Dřevařské inženýrství,,,,,
M3441,Polygrafie,,,,,
M3501,Architektura a urbanismus,,Architecture and Urbanism,,,
M3602,Geomatika,,,,,
M3606,Vojenské stavby,,,,,
M3607,Stavební inženýrství,,Civil Engineering,,,
M3608,Pozemní stavby a architektura,,,,,
M3646,Geodézie a kartografie,,,,,
M3647,Stavebnictví,,,,,
M3706,Dopravní a spojová infrastruktura,,,,,
M3707,Ekonomika a řízení v dopravě a spojích,,,,,
M3708,Dopravní inženýrství a spoje,,,,,
M3709,Dopravní technologie a spoje,,,,,
M3710,Technika a technologie v dopravě a spojích,,,,,
M3711,Automatizace a řízení v dopravě a spojích,,,,,
M3901,Aplikované vědy v inženýrství,,,,,
M3902,Inženýrská informatika,,Computer Science and Engineering,,,
M3903,Kybernetika a řídící technika,,,,,
M3904,Inženýrská ekologie,,,,,
M3906,Speciální technologie,,,,,
M3907,Energetika,,,,,
M3908,Požární ochrana a průmyslová bezpečnost,,,,,
M3909,Procesní inženýrství,,Process Engineering,,,
M3910,Fyzikální a materiálové inženýrství,,,,,
M3911,Materiálové vědy,,,,,
M3912,Speciální chemicko-biologické obory,,Special Chemical and Biological Programmes,,,
M3913,Aplikace přírodních věd,,,,,
M3914,Krajinné inženýrství,,Landscape Engineering,,,
M3916,Biomedicínské inženýrství - bionika,,,,,
M3917,Soudní inženýrství,,,,,
M3918,Aplikované vědy a informatika,,Applied Sciences and Computer Engineering,,,
M3919,Biomechanika,,Biomechanics,,,
M3926,Vojenské technologie,,Military Technology,,,
M3942,Nanotechnologie,,,,,
M4101,Zemědělské inženýrství,,Agricultural Engineering,,,
M4102,Fytotechnika,,Crop Science,,,
M4103,Zootechnika,,"Animal Science, Animal Breeding",,,
M4106,Zemědělská specializace,,Agricultural Specialization,,,
M4107,Lesní inženýrství,,Forestry Engineering,,,
M4108,Zahradnické inženýrství,,Hortical Engineering,,,
